MOST_SEVERE_INJURY,PERSON_TYPE,CRASH_DATE_EST_I,POSTED_SPEED_LIMIT,TRAFFIC_CONTROL_DEVICE,DEVICE_CONDITION,WEATHER_CONDITION,LIGHTING_CONDITION,FIRST_CRASH_TYPE,TRAFFICWAY_TYPE,LANE_CNT,ALIGNMENT,ROADWAY_SURFACE_COND,ROAD_DEFECT,CRASH_TYPE,INTERSECTION_RELATED_I,NOT_RIGHT_OF_WAY_I,HIT_AND_RUN_I,PRIM_CONTRIBUTORY_CAUSE,SEC_CONTRIBUTORY_CAUSE,SEX,AGE,BAC_RESULT VALUE
0,0,-1,30,0,0,0,1,10,2,4,0,0,0,0,-1,-1,-1,18,-1,0,21,-1
0,0,-1,30,0,0,0,1,10,2,4,0,0,0,0,-1,-1,-1,18,-1,0,51,-1
0,1,-1,30,0,0,0,1,10,2,4,0,0,0,0,-1,-1,-1,18,-1,1,48,-1
0,1,-1,30,0,0,0,1,10,2,4,0,0,0,0,-1,-1,-1,18,-1,1,16,-1
0,1,-1,30,0,0,0,1,10,2,4,0,0,0,0,-1,-1,-1,18,-1,1,48,-1
0,1,-1,30,0,0,0,1,10,2,4,0,0,0,0,-1,-1,-1,18,-1,0,17,-1
0,1,-1,30,0,0,0,1,10,2,4,0,0,0,0,-1,-1,-1,18,-1,0,11,-1
0,0,-1,30,1,2,0,1,0,5,-1,0,1,0,1,-1,-1,-1,16,-1,1,32,-1
0,0,-1,30,1,2,0,1,0,5,-1,0,1,0,1,-1,-1,-1,16,-1,1,48,-1
0,1,-1,30,1,2,0,1,0,5,-1,0,1,0,1,-1,-1,-1,16,-1,1,26,-1
0,1,-1,30,1,2,0,1,0,5,-1,0,1,0,1,-1,-1,-1,16,-1,1,27,-1
0,1,-1,30,1,2,0,1,0,5,-1,0,1,0,1,-1,-1,-1,16,-1,1,21,-1
0,0,-1,30,0,0,0,3,0,5,-1,0,0,-1,0,-1,-1,-1,17,-1,0,52,-1
0,0,-1,30,0,0,0,3,0,5,-1,0,0,-1,0,-1,-1,-1,17,-1,1,-1,-1
0,0,-1,30,-1,-1,0,1,0,-1,-1,0,0,-1,0,-1,-1,-1,0,-1,1,-1,-1
0,0,-1,30,-1,-1,0,1,0,-1,-1,0,0,-1,0,-1,-1,-1,0,-1,1,-1,-1
0,0,-1,30,-1,-1,0,1,10,-1,-1,0,0,0,0,-1,-1,-1,18,16,1,58,-1
0,0,-1,30,-1,-1,0,1,10,-1,-1,0,0,0,0,-1,-1,-1,18,16,0,-1,-1
0,0,-1,30,0,0,0,1,11,5,-1,0,2,12,0,-1,-1,-1,0,-1,1,40,-1
0,0,-1,30,0,0,0,1,11,5,-1,0,2,12,0,-1,-1,-1,0,-1,0,44,-1
0,0,-1,30,1,2,0,1,12,3,-1,0,0,0,0,-1,-1,-1,17,17,1,45,-1
0,0,-1,30,1,2,0,1,12,3,-1,0,0,0,0,-1,-1,-1,17,17,0,56,-1
0,1,-1,30,1,2,0,1,12,3,-1,0,0,0,0,-1,-1,-1,17,17,0,52,-1
0,0,-1,30,0,0,2,1,7,4,-1,0,1,0,0,-1,-1,-1,0,-1,1,52,-1
0,0,-1,25,2,2,0,3,5,5,-1,0,0,0,1,-1,-1,1,0,0,2,-1,-1
0,0,-1,30,1,2,0,1,10,5,2,0,0,0,0,-1,-1,-1,11,0,1,38,-1
0,0,-1,30,1,2,0,1,10,5,2,0,0,0,0,-1,-1,-1,11,0,0,32,-1
0,1,-1,30,1,2,0,1,10,5,2,0,0,0,0,-1,-1,-1,11,0,1,-1,-1
0,0,-1,30,1,2,0,1,10,8,-1,3,0,0,1,-1,-1,-1,20,11,0,48,-1
0,0,-1,30,1,2,0,1,10,8,-1,3,0,0,1,-1,-1,-1,20,11,0,27,-1
0,0,-1,30,0,0,0,1,14,5,2,0,0,0,0,1,-1,-1,21,-1,0,31,-1
0,0,-1,30,0,0,0,1,14,5,2,0,0,0,0,1,-1,-1,21,-1,0,39,-1
0,1,-1,30,0,0,0,1,14,5,2,0,0,0,0,1,-1,-1,21,-1,1,33,-1
0,1,-1,30,0,0,0,1,14,5,2,0,0,0,0,1,-1,-1,21,-1,0,-1,-1
0,1,-1,30,0,0,0,1,14,5,2,0,0,0,0,1,-1,-1,21,-1,0,-1,-1
0,1,-1,30,0,0,0,1,14,5,2,0,0,0,0,1,-1,-1,21,-1,1,-1,-1
0,1,-1,30,0,0,0,1,14,5,2,0,0,0,0,1,-1,-1,21,-1,2,-1,-1
0,0,-1,30,0,0,0,1,12,6,2,0,0,0,1,-1,-1,1,0,-1,2,-1,-1
0,0,-1,30,0,0,0,1,12,6,2,0,0,0,1,-1,-1,1,0,-1,2,-1,-1
