RD_NO,PERSON_TYPE,POSTED_SPEED_LIMIT,TRAFFIC_CONTROL_DEVICE,DEVICE_CONDITION,WEATHER_CONDITION,LIGHTING_CONDITION,FIRST_CRASH_TYPE,TRAFFICWAY_TYPE,ALIGNMENT,ROADWAY_SURFACE_COND,ROAD_DEFECT,PRIM_CONTRIBUTORY_CAUSE,SEC_CONTRIBUTORY_CAUSE,SEX,AGE,SAFETY_EQUIPMENT,DRIVER_ACTION,DRIVER_VISION,PHYSICAL_CONDITION,BAC_RESULT VALUE,CELL_PHONE_USE
411864,0,30,0,0,2,1,12,5,0,1,0,0,0,0,200,200,200,200,200,200,200
411864,0,30,0,0,2,1,12,5,0,1,0,0,0,1,5,0,200,200,0,200,200
411867,0,30,0,0,2,0,14,2,0,1,200,0,0,0,7,0,200,200,0,200,200
411867,0,30,0,0,2,0,14,2,0,1,200,0,0,0,6,0,200,0,0,200,200
411873,0,25,0,0,0,1,10,5,0,0,0,0,0,1,200,200,200,200,200,200,200
411873,0,25,0,0,0,1,10,5,0,0,0,0,0,0,6,0,0,0,0,200,200
411873,1,25,0,0,0,1,10,5,0,0,0,0,0,0,2,5,200,200,200,200,200
411876,0,30,0,0,2,1,12,5,0,1,0,0,0,1,5,0,0,200,0,200,200
411876,0,30,0,0,2,1,12,5,0,1,0,0,0,1,6,7,0,0,0,200,200
411877,0,30,0,0,1,1,7,6,0,1,0,0,0,2,200,200,200,200,200,200,200
411881,0,30,1,2,2,1,10,5,0,1,0,0,0,1,6,200,200,200,200,200,200
411881,0,30,1,2,2,1,10,5,0,1,0,0,0,1,6,0,0,0,1,200,200
411881,1,30,1,2,2,1,10,5,0,1,0,0,0,0,200,200,200,200,200,200,200
411884,0,30,1,2,0,1,10,5,0,0,0,16,25,0,5,200,1,200,200,200,200
411884,0,30,1,2,0,1,10,5,0,0,0,16,25,0,7,0,0,0,0,200,200
411885,0,30,2,2,1,1,14,5,0,1,0,5,200,1,6,0,200,0,0,200,200
411885,0,30,2,2,1,1,14,5,0,1,0,5,200,1,6,0,200,0,0,200,200
411887,0,20,1,2,2,2,10,3,0,1,0,18,12,0,200,200,3,200,200,200,200
411887,0,20,1,2,2,2,10,3,0,1,0,18,12,1,6,0,0,0,0,200,200
411893,0,30,1,2,2,1,9,2,0,1,200,17,200,0,6,200,1,200,0,200,200
411893,5,30,1,2,2,1,9,2,0,1,200,17,200,1,6,200,0,200,0,200,200
411894,0,0,0,0,2,1,7,7,0,1,0,33,20,0,6,200,6,12,0,200,200
411895,0,30,1,2,2,1,12,2,0,1,0,0,34,2,200,200,200,200,200,200,200
